owner;model_name;created_at;last_updated;family;model_size;previous_size_category;downloads;likes;library_name;pipeline_tag;cleaned_github;title;message;commit_id;date;author;files;names;combined;labels;manual_classification;oussama_classification;automatic_classification
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Update README.md;;bbbd7a061041dc58af3611843bb5d1f5a1c04c2c;2/9/2023;jlamypoirier;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Update README.md;;9d795416782b0ec9930ff07a8f2656b589313574;2/9/2023;jlamypoirier;README.md;Intermittent Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Add tokenizer;;1233b5dccab64dedd8725aba9144557ebbc2d3f7;4/6/2023;jlamypoirier;special_tokens_map.json, tokenizer.json, tokenizer_config.json;Intermittent Alignment;add tokenizer;tokenizer addition;preprocessing;preprocessing;preprocessing
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;fix eos_token and bos_token in config (#1);- fix eos and bos token to match the tokenizer (8c5534bb6a33b7bea90d9bd6f3b2194cfcc12f16);7b85b24cf4472ca5e98b73c421ff4408ae814189;4/22/2023;Mayank Mishra;config.json;Intermittent Alignment;fix eos_token and bos_token in config (#1) - fix eos and bos token to match the tokenizer (8c5534bb6a33b7bea90d9bd6f3b2194cfcc12f16);eos/bos token fix;model structure;model structure;model structure
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Merge branch 'main' of https://huggingface.co/bigcode/santacoder-fast-inference into main;;c72ef96a8ca6edfe98483305880ff75316916c55;3/29/2023;jlamypoirier;README.md;Intermittent Alignment;merge branch 'main' of https://huggingface.co/bigcode/santacoder-fast-inference into main;merge branch;sharing;sharing;sharing
bigcode;bigcode/gpt_bigcode-santacoder;6/12/2023;6/13/2023;bigcode_gpt;1124.886528;medium;24658;24;transformers;text-generation;https://github.com/bigcode-project/Megatron-LM;Update config for hf transformers;;97c7c17f008a49d28d391f269678187b8d12c204;4/6/2023;jlamypoirier;config.json;Intermittent Alignment;update config for hf transformers;config file update;parameter tuning;parameter tuning;parameter tuning
bigscience;bigscience/bloom-560m;8/7/2022;2/10/2023;bigscience_workshop;582.40128;medium;200002;327;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;Update config.json;;8ad61ef2f1bf707dcec23c141de73b71e8b04827;5/28/2022;Younes Belkada;config.json;Dense Partial Alignment;update config.json;config file update;parameter tuning;parameter tuning;parameter tuning
bigscience;bigscience/bloom-7b1;7/18/2022;3/17/2023;bigscience_workshop;1065.314304;medium;431985;187;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;Create LICENSE;;813263e5998607c40e6a6344913a7fa9ce20d8ed;5/20/2022;Younes Belkada;LICENSE;Dense Partial Alignment;create license;license creation;project metadata;project metadata;project metadata
bigscience;bigscience/bloom-7b1;7/18/2022;3/17/2023;bigscience_workshop;1065.314304;medium;431985;187;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;Correct pretraining tp;;fb716d3b8e220c4624b69ba5bdf8a3b514099cb9;8/13/2022;Muennighoff;config.json;Dense Partial Alignment;correct pretraining tp;pre-training tp correction;input data;input data;input data
bigscience;bigscience/bloom-560m;8/7/2022;2/10/2023;bigscience_workshop;582.40128;medium;200002;327;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;Update README.md;;b277c40b791e89d58b5ab3a6d5867f7a36985b7b;5/25/2022;christopher;README.md;Dense Partial Alignment;update readme.md;readme update;external documentation;external documentation;external documentation
bigscience;bigscience/bloom-7b1;7/18/2022;3/17/2023;bigscience_workshop;1065.314304;medium;431985;187;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;Fix architecture (#41);#NAME?;5e960cd5df4f4fe0bbedbc7f45afb4c68ef74ea9;2/10/2023;cakiki;;Dense Partial Alignment;fix architecture (#41) #name?;architecture fix;external documentation;external documentation;model structure
bigscience;bigscience/T0pp;5/19/2022;4/14/2023;bigscience_workshop;11135.33235;large;15693;391;transformers;text2text-generation;https://github.com/bigscience-workshop/bigscience;fix rows mixing;;030e8488a136c85c3412eed053aef6f0ffc1a801;11/9/2021;VictorSanh;README.md;Dense Partial Alignment;fix rows mixing;row mix fix;internal documentation;internal documentation;pipeline performance
bigscience;bigscience/bloom-1b1;8/7/2022;6/16/2023;bigscience_workshop;300.176768;medium;38862;53;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;new data;;61194ca45119d759935956ef4f02e3fb7ce09751;5/20/2022;bigscience-bot;config.json;Dense Partial Alignment;new data;new data addition;input data;input data;input data
bigscience;bigscience/bloom-1b1;8/7/2022;6/16/2023;bigscience_workshop;300.176768;medium;38862;53;transformers;text-generation;https://github.com/bigscience-workshop/bigscience;Update Date on Model Card;;4ec1d873f5bba6e7f5790c5dd0faae9f98b77721;5/24/2022;Younes Belkada;README.md;Dense Partial Alignment;update date on model card;model card update;project metadata;project metadata;external documentation
bigscience;bigscience/mt0-base;8/7/2022;2/10/2023;bigscience_workshop;7069.016064;large;10125;25;transformers;text2text-generation;https://github.com/bigscience-workshop/bigscience;Update steps;;5e44aabd0c86160dc68f4d7896f01195f7d91566;11/4/2022;Muennighoff;README.md;Dense Partial Alignment;update steps;training step update;training infrastructure;internal documentation;internal documentation
cardiffnlp;cardiffnlp/twitter-roberta-base-irony;6/6/2022;5/28/2023;cardiffnlp_tweeteval;125;small;1257781;25;transformers;text-classification;https://github.com/cardiffnlp/tweeteval;upload flax model;;72213835791c86ac7cade4acef91820bc9f1dc57;5/20/2021;patrickvonplaten;flax_model.msgpack;Dispersed Alignment;upload flax model;flax mode upload;sharing;sharing;model structure
cardiffnlp;cardiffnlp/twitter-xlm-roberta-base-sentiment-multilingual;3/2/2022;10/10/2022;cardiffnlp_tweeteval;110;small;109074;7;transformers;text-classification;https://github.com/cardiffnlp/tweeteval;model update;;4bbfd0204cabf80eb8081058bf838c1e6ef70a69;12/1/2022;asahi417;README.md, best_run_hyperparameters.json, metric.json;Dispersed Alignment;model update;model card update;model structure;model structure;model structure
cardiffnlp;cardiffnlp/twitter-roberta-base-emotion-multilabel-latest;10/10/2022;10/10/2022;cardiffnlp_tweeteval;125;small;70509;16;transformers;text-classification;https://github.com/cardiffnlp/tweeteval;Fix reference;;30a56d88e47e493f08f93c786d49c526550b55b9;5/28/2023;Pedrada;README.md;Dispersed Alignment;fix reference;model reference fix;sharing;sharing;internal documentation
